"Sep.93","Oct.93","Nov.93","Dec.93","Jan.94","Feb.94","Mar.94","Apr.94","May.94","Jun.94","Jul.94","Aug.94","Sep.94","Oct.94","Nov.94","Dec.94","Jan.95","Feb.95","Mar.95","Apr.95","May.95","Jun.95","Jul.95","Aug.95","Sep.95","Oct.95","Nov.95","Dec.95","Jan.96","Feb.96","Mar.96","Apr.96","May.96","Jun.96","Jul.96","Aug.96","Sep.96","Oct.96","Nov.96","Dec.96","Jan.97","Feb.97","Mar.97","Apr.97","May.97","Jun.97","Jul.97","Aug.97","Sep.97","Oct.97","Nov.97","Dec.97","Jan.98","Feb.98","Mar.98","Apr.98","May.98","Jun.98","Jul.98","Aug.98","Sep.98","Oct.98","Nov.98","Dec.98","Jan.99","Feb.99","Mar.99","Apr.99","May.99","Jun.99"
"EM","EM","EM","EM","TR","TR","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM"
"FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE"
"TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","JL","JL"
"TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","JL","JL","JL","JL","JL","JL","JL","JL","JL"
"FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE"
"JL","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM"
"FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM"
"FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM"
"TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","TR","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM"
"SC","SC","SC","SC","SC","SC","SC","SC","SC","SC","JL","JL","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","EM","JL","JL","JL","JL","JL","JL","JL","JL","JL","JL","JL","JL"
