epoch,step,train_loss_Ph,train_loss_W,train_nonsucc_W,train_reconstr_Ph,train_reconstr_W,train_sparsity_Ph
9,49,1128.8284912109375,1357.6185302734375,487.236328125,1124.715576171875,1114.0003662109375,8.225769996643066
19,99,959.368896484375,1120.566650390625,327.2442626953125,957.1371459960938,956.944580078125,4.4635233879089355
29,149,921.2897338867188,1024.1671142578125,211.12014770507812,918.7839965820312,918.6070556640625,5.011464595794678
39,199,858.240966796875,922.6627197265625,135.4661102294922,855.43896484375,854.9296875,5.60399866104126
49,249,780.0078735351562,821.2037353515625,89.47190856933594,776.8015747070312,776.4677734375,6.4126482009887695
59,299,700.004150390625,727.3423461914062,62.405723571777344,696.3455200195312,696.1394653320312,7.317317962646484
69,349,626.8782958984375,646.9874877929688,48.308753967285156,622.9014282226562,622.8331298828125,7.953736782073975
79,399,574.8276977539062,590.5750732421875,39.7813606262207,570.685791015625,570.6843872070312,8.283796310424805
89,449,541.283203125,555.23681640625,36.518455505371094,536.9769897460938,536.9776000976562,8.612401008605957
99,499,527.0750732421875,540.2011108398438,35.20924377441406,522.5980834960938,522.5964965820312,8.953951835632324
